Date, Apartment Complex Name, Unit, Price
9/26/2019,Reflections at Gila Springs,2Bed-2Bath|1186sq.ft,"$1,360 "
9/26/2019,Reflections at Gila Springs,2Bed-2Bath|1156sq.ft,"$1,445 "
9/26/2019,The Ventura,A1beds1baths1sq.ft798,"$1,265 "
9/26/2019,The Ventura,B2beds2baths2sq.ft1039,"$1,410 "
9/28/2019,San Brisas,A2,$1275 -to $1325
9/28/2019,Country Brook,A1,$1121 -to $1424
9/28/2019,Country Brook,A2,$1078 -to $1387
9/28/2019,Country Brook,A3,$1125 -to $1387
9/28/2019,Country Brook,A4,$1230 -to $1456
9/28/2019,Country Brook,B1,$1282 -to $1823
9/28/2019,Country Brook,B2,$1297 -to $1791
9/28/2019,San Tierra,1Bed-1Bath|801sq.ft.,"$1,135 "
9/28/2019,San Tierra,2Bed-2Bath|1005sq.ft,"$1,365 "
9/28/2019,San Tierra,2Bed-2Bath|1050sq.ft,"$1,280 "
9/28/2019,San Tierra,2Bed-2Bath|1082sq.ft,"$1,275 "
9/28/2019,Reflections at Gila Springs,1Bed-1Bath|824sq.ft.,"$1,200 "
9/28/2019,Reflections at Gila Springs,1Bed-1Bath|949sq.ft.,"$1,400 "
9/28/2019,Reflections at Gila Springs,2Bed-2Bath|1186sq.ft,"$1,420 "
9/28/2019,Reflections at Gila Springs,2Bed-2Bath|1156sq.ft,"$1,505 "
9/28/2019,The Ventura,A1beds1baths1sq.ft798,"$1,300 "
9/28/2019,The Ventura,B2beds2baths2sq.ft1039,"$1,410 "
9/29/2019,San Brisas,A2,$1275 -to $1325
9/29/2019,Country Brook,A1,$1119 -to $1421
9/29/2019,Country Brook,A2,$1076 -to $1385
9/29/2019,Country Brook,A3,$1126 -to $1385
9/29/2019,Country Brook,A4,$1231 -to $1453
9/29/2019,Country Brook,B1,$1321 -to $1874
9/29/2019,Country Brook,B2,$1336 -to $1841
9/29/2019,San Tierra,1Bed-1Bath|801sq.ft.,"$1,135 "
9/29/2019,San Tierra,2Bed-2Bath|1005sq.ft,"$1,365 "
9/29/2019,San Tierra,2Bed-2Bath|1050sq.ft,"$1,280 "
9/29/2019,San Tierra,2Bed-2Bath|1082sq.ft,"$1,275 "
9/29/2019,Reflections at Gila Springs,1Bed-1Bath|824sq.ft.,"$1,200 "
9/29/2019,Reflections at Gila Springs,1Bed-1Bath|949sq.ft.,"$1,400 "
9/29/2019,Reflections at Gila Springs,2Bed-2Bath|1186sq.ft,"$1,420 "
9/29/2019,Reflections at Gila Springs,2Bed-2Bath|1156sq.ft,"$1,505 "
9/29/2019,The Ventura,A1beds1baths1sq.ft798,$1160-$1188
9/29/2019,The Ventura,B2beds2baths2sq.ft1039,"$1,365 "
9/30/2019,San Brisas,A2,$1275 -to $1325
9/30/2019,Country Brook,A1,$1116 -to $1422
9/30/2019,Country Brook,A2,$1073 -to $1386
9/30/2019,Country Brook,A3,$1127 -to $1386
9/30/2019,Country Brook,A4,$1232 -to $1455
9/30/2019,Country Brook,B1,$1328 -to $1858
9/30/2019,Country Brook,B2,$1343 -to $1826
9/30/2019,San Tierra,1Bed-1Bath|801sq.ft.,"$1,135 "
9/30/2019,San Tierra,2Bed-2Bath|1005sq.ft,"$1,365 "
9/30/2019,San Tierra,2Bed-2Bath|1050sq.ft,"$1,280 "
9/30/2019,San Tierra,2Bed-2Bath|1082sq.ft,"$1,295 "
9/30/2019,Reflections at Gila Springs,1Bed-1Bath|824sq.ft.,"$1,200 "
9/30/2019,Reflections at Gila Springs,1Bed-1Bath|949sq.ft.,"$1,405 "
9/30/2019,Reflections at Gila Springs,2Bed-2Bath|1186sq.ft,"$1,420 "
9/30/2019,Reflections at Gila Springs,2Bed-2Bath|1156sq.ft,"$1,505 "
9/30/2019,The Ventura,A1beds1baths1sq.ft798,"$1,175 "
9/30/2019,The Ventura,B2beds2baths2sq.ft1039,"$1,390 "
10/1/2019,San Brisas,A2,$1275 -to $1325
10/1/2019,Country Brook,A1,$1072 -to $1373
10/1/2019,Country Brook,A2,$1031 -to $1358
10/1/2019,Country Brook,A3,$1086 -to $1336
